Title,Author,Description,Image URL,Genre
The Good Life,by Robert Waldinger and Marc Schulz,"What does it take to live a truly good life? Money, success, great love? Robert Waldinger and Marc Schulz, the current director and associate director of the Harvard Study of Adult Development, attempt to answer this age-old question in their New York Times best seller The Good Life: Lessons from the World’s Longest Scientific Study of Happiness. The book is the result of the “longest in‑depth longitudinal study of human life ever done.” Launched in 1938, the study—which is still ongoing—traces the lives of 724 participants and more than 1,300 of their descendants. Its takeaway thus far, unpacked in The Good Life, should come as no surprise: that deep, healthy relationships keep us happier. Waldinger and Schulz’s industrious use of research and data, as well as their thoughtful and relatable storytelling, serve as a welcome alternative to traditional self-help fare and a heartwarming guide for those of us plagued by the chaos of modern living. —Rachel Sonis Buy Now: The Good Life on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheGoodLife.jpg?quality=85&w=800,Biography
The Great Reclamation,by Rachel Heng,"In many ways, Rachel Heng’s spellbinding novel The Great Reclamation is as much a sweeping coming-of-age story as it is an exhaustive history of 20th-century Singapore. The book—cleverly titled after Singapore’s 1966 post-independence program that added 1,525 hectares of land to its southeastern coast—begins with the journey of 7-year-old Ah Boon. A misfit among his fisherman family, Ah Boon goes on a fishing trip one night with his father and older brother off the coast of their village. There, he discovers a group of small islands that seem to not only appear with the moon, but also bring with them a bounty of fish. As Ah Boon grows up, he inevitably begins to confront the changing world around him. He meets great loves, suffers incredible losses, and above all, wrestles with the cost of modernization, as local government officials push for a land reclamation project where he grew up. Heng uses Ah Boon’s arc to tell the story of Singapore through its many shifts—from Japanese occupation to British colonial rule to its independence and stratospheric prosperity. Told with a critical eye, nuance, and heart, The Great Reclamation is a moving look at what human innovation looks like, and the price we all have to pay for it. —Rachel Sonis Buy Now: The Great Reclamation on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheGreatReclamation.jpg?quality=85&w=800,History
The Great White Bard,by Farah Karim-Cooper,"No, cancel culture has not come for William Shakespeare. The Great White Bard is not a takedown of Shakespeare’s most famous works, but instead a near-forensic audit of his plays through a racial lens. “To love Shakespeare means to know him,” Farah Karim-Cooper writes. Instead of “worshiping his words,” she believes that interrogating them “allows us to confront crucial questions of our day.” Through rigid and nuanced analysis, the co-director of education at Shakespeare’s Globe theater and noted Shakespeare scholar argues that the bard helped shape the Elizabethan and Renaissance ideals of race, but not for the better. As she finds examples of racial prejudice, misogynoir, and anti-semitism in Shakespeare’s plays, she hopes that readers can recognize his flaws as a way to afford themselves a deeper understanding of his work. —Shannon Carlin Buy Now: The Great White Bard on Bookshop CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheGreatWhiteBard.jpg?quality=85&w=800,Other
Greek Lessons,by Han Kang,"Han Kang, winner of the 2016 Man Booker International Prize for The Vegetarian, is known for her ability to lay bare the lives of complicated women. Her latest novel, Greek Lessons, first released in 2011 and newly translated into English by Deborah Smith and Emily Yae Won, focuses on a South Korean mother who loses the ability to speak after her own mother dies and she loses custody of her son. To explore the possibilities of language beyond her native Korean, and in the hopes of recovering her voice, the unnamed woman takes a course in ancient Greek where she meets a professor who suffers from a degenerative eye disease that will eventually cause him to go blind. The two bond over their respective disabilities; not through words, but instead through sly glances and inadvertent touch. In absorbing prose, Kang allows these two lonely people to communicate their deepest fears and regrets in an attempt to find a way forward. Greek Lessons is a profoundly sad yet hopeful look at the connection that comes with shared language—even when it is not spoken. —Shannon Carlin Buy Now: Greek Lessons on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/GreekLessons.jpg?quality=85&w=800,History
The Guest,by Emma Cline,"Thrills and dread abound in Emma Cline’s The Guest, the unnerving beach read of the year. Set in an unnamed, affluent community on Long Island (read: the Hamptons), it follows the misadventures of Alex, a clever but self-destructive grifter, who, after being kicked out of her wealthy older lover’s vacation home, uses her street smarts to survive a harrowing week by leeching off the unassuming ultra-rich around her. From bunking in a fratty house share to passing as a member of the local beach club, Alex is a master of deception and an agent of chaos, pulling through at the expense of those around her, no matter the cost. —Cady Lang Buy Now: The Guest on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheGuest.jpg?quality=85&w=800,Other
The Half Known Life,by Pico Iyer,"The search for paradise is a lofty goal for many, but one that acclaimed writer and journalist Pico Iyer treats with incredible urgency. In The Half Known Life: In Search of Paradise, Iyer travels the globe—from Iran to Kashmir to Japan to Northern Ireland—to demystify how different communities perceive eternal happiness, and how their quest to achieve it manifests in the face of political, social, and environmental instability. The result is a lyrical, if paradoxical, meditation on a fervent pursuit for happiness that often feels out of reach. Iyer asks himself: Can paradise exist? Is this the place? For him, it’s at least worth taking a look and finding out. —Rachel Sonis Buy Now: The Half Known Life on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheHalfKnownLife.jpg?quality=85&w=800,Biography
The Heaven & Earth Grocery Store,by James McBride,"In National Book Award-winning author James McBride’s new novel, there aren’t any skeletons in the closet, but there is one buried in a well. The book’s central mystery begins in 1972 with the discovery of human remains in Pottstown, Pa. The only physical evidence found at the decades-old scene are a belt buckle, a pendant, and a mezuzah, a scroll of parchment paper inscribed with verses from the Torah that is affixed to the doorposts of Jewish homes. The latter leads authorities to speak with the only Jewish man who still remains in Chicken Hill, the town’s once-bustling Black and Jewish neighborhood. To understand the present, McBride takes us back to the past, the 1920s and ’30s, when the diverse but divided neighborhood came together to protect an orphaned Black child from being institutionalized. McBride’s rich cast of characters feel so realized that it is hard not to root for these neighbors who find themselves at a crossroads. When the members of the community are once again asked to put their cultural differences aside to help in the investigation of the case, The Heaven & Earth Grocery proves that a common enemy can be a uniting force. —Shannon Carlin Buy Now: The Heaven & Earth Grocery Store on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheHeavenEarthGroceryStore.jpg?quality=85&w=800,History
Hello Beautiful,by Ann Napolitano,"Ann Napolitano is perhaps best known for Dear Edward, a best seller but the sort of tearjerker that might scare away some readers. And while there are tragic aspects to her new novel—the book begins “For the first six days of William Waters’s life, he was not an only child,” presaging a loss that will define the character’s life—the tender narrative is at its best when it’s exploring the strength of familial bonds. William, shunned by grieving parents, finds salvation in basketball and particularly the structure of a team. He falls in with another family when he becomes romantically entangled with Julia and, by extension, her three sisters. The four girls bicker about which March sibling each would be in Little Women. Hello Beautiful achieves a similar alchemy to that classic novel as it builds up those sisterly relationships and then pushes them to the brink while simultaneously weaving in William’s own compelling story of growth. —Eliana Dockterman Buy Now: Hello Beautiful on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/HelloBeautiful.jpg?quality=85&w=800,Biography
The Hive and the Honey,by Paul Yoon,"The seven stories in Paul Yoon’s absorbing collection span centuries of the Korean diaspora, from a Korean settlement in east Russia to an upstate New York town. Throughout, Yoon details fully realized and flawed characters attempting to wade through the complexities of immigrant life, including a 16-year-old boy searching for his father, a maid looking for the son she left behind in North Korea, and a couple working at a corner store in the U.K. Through sharp and lyrical prose, Yoon asks urgent questions about what it really means to belong somewhere. —Annabel Gutterman Buy Now: The Hive and the Honey on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheHiveAndTheHoney.jpg?quality=85&w=800,Biography
Holding Pattern,By Jenny Xie,"After Kathleen Cheng is dumped by her boyfriend, she takes a job as a professional cuddler at a Bay Area startup. But what starts as an ironic attempt to fill her time while stuck in her hometown for her mother’s wedding soon becomes a profound lesson in intimacy. After Kathleen takes the job, each chapter of Jenny Xie’s absorbing debut novel begins with a set of instructions on how to properly perform its techniques, from the “cuddle puddle” to the “half spoon.” It would be easy to laugh at the notion that one needs a lesson in how to hold someone. Yet Xie writes with such tenderness that it is nearly impossible not to feel moved by the profound effect this forced closeness has on the stubborn Kathleen. By opening herself up to the touch of strangers, Kathleen becomes more receptive to an embrace from her mother, a livewire who acts as her daughter’s greatest foil. Holding Pattern shows that sometimes all it takes is a little push, or even a hug, to get out of a rut. —Shannon Carlin Buy Now: Holding Pattern on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/HoldingPattern.jpg?quality=85&w=800,Fiction
"Holler, Child",by Latoya Watkins,"Latoya Watkins follows up her 2022 debut novel Perish with Holler, Child, a poignant collection about the loves, losses, and struggles of a Black community in West Texas. Consisting of 11 short stories, the book confronts both the joy and the heartbreak of living—motherhood, betrayals, love affairs, racism, and death are all recurrent themes. Watkins tells the stories of a single mother who reckons with the idea that her son may be capable of the same sexual violence that brought him into the world, a pair of sisters who search for their estranged brother, and a wife who seeks to spite her husband by lavishing their children with love. Throughout it all, Watkins plumbs the depths of our emotions with compassion and nuance, offering a complex understanding of the human condition. —Cady Lang Buy Now: Holler, Child on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/HollerChild.jpg?quality=85&w=800,Fiction
How Not to Kill Yourself,by Clancy Martin,"Clancy Martin’s candid and at times haunting memoir is a necessary addition to the dialogue surrounding suicide. The novelist recounts his attempts to take his own life alongside the experiences of several prominent writers like David Foster Wallace and Yiyun Li in an urgent call to reframe how we think about suicide and those who struggle with self-destructive thoughts. Martin is never afraid, delving into his most vulnerable moments in detail to humanize a subject that so many are not able to openly discuss. In doing so, Martin crafts a captivating argument about suffering and survival. —Annabel Gutterman Buy Now: How Not to Kill Yourself on Bookshop | Amazon If you or someone you know may be experiencing a mental-health crisis or contemplating suicide, call or text 988. In emergencies, call 911, or seek care from a local hospital or mental health provider. CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/HowNotToKillYourself.jpg?quality=85&w=800,Biography
How to Say Babylon,By Safiya Sinclair,"Poet Safiya Sinclair grew up in a militant Rastafarian household in Jamaica under the watchful eye of her father, who she describes as having been domineering and insistent on purity above all else. Sinclair writes that her father feared that “Babylon,” the Rasta term for Western society, would corrupt his daughters. Her debut memoir, How to Say Babylon, is a reflective and compassionate recounting of how she broke away from her father and his beliefs to become her own person. A published poet at 16, writing was Sinclair’s salvation from the pressure her father, a talented but struggling musician, put on her to be the perfect Rasta daughter. “I was too headstrong, too curious,” she writes. “Too much of myself, and not enough of him.” It is only by excavating her own past, her own need for rebellion, that Sinclair begins to understand her father’s embrace of a religious and political movement that has long been a persecuted minority in her home country. In songlike prose, she describes how they were both looking for liberation, and how she believes only one of them has found it. —Shannon Carlin Buy Now: How to Say Babylon on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/HowToSayBabylon.jpg?quality=85&w=800,Biography
I Am Still With You,by Emmanuel Iduma,"Journalist and critic Emmanuel Iduma was born nearly 20 years after the end of Nigeria’s civil war, which pitted the Nigerian government against the secessionist state of Biafra. But the events of the genocidal conflict, which lasted into the late 1960s, are still a mystery to the author. “We are a generation that has to lift itself from the hushes and gaps of the history of the war,” Iduma writes in I Am Still With You: A Reckoning With Silence, Inheritance, and History, his moving memoir that attempts to fill in those holes. After years of living in New York, Iduma returns to Nigeria in 2020 to investigate the disappearance of his namesake uncle, who went missing while fighting in the war. A thorough and thoughtful reporter, Iduma explains how it has become taboo in Nigerian culture to discuss the war, and uses his family’s own tragedy to tell the devastating story of a country that has not been allowed to properly mourn its dead. I Am Still With You is a deeply felt eulogy for those who were lost and a sobering reflection on the shame that comes with silence. —Shannon Carlin Buy Now: I Am Still With You on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/IAmStillWithYou.jpg?quality=85&w=800,Biography
I Do Everything I'm Told,by Megan Fernandes,"In “Orlando,” an entry in Megan Fernandes’ stirring third poetry collection, she writes that poems give “form to the formless,” capturing the essence of her book. Split into four sections, the poems in I Do Everything I’m Told give words to unnamable desires and mysterious obsessions, telling stories that span the world and beyond, from Shanghai locker rooms to a freezing Rockaway Beach to Saturn’s rings. The speaker of the poems is wrestling with life, and with interpersonal relationships and connections to everything else. With striking clarity in her language and an attentiveness to the beauty of contradictions, Fernandes creates a work that is less a balm than it is a wallop to the senses, jarring the reader awake. —Mahita Gajanan Buy Now: I Do Everything I’m Told on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/IDoEverythingImTold.jpg?quality=85&w=800,Biography
I Have Some Questions For You,by Rebecca Makkai,"Though Rebecca Makkai’s I Have Some Questions For You may read like a thriller, it’s as much an exploration of perspective and assumption in the #MeToo era as it is a mystery. Bodie is a well-known podcaster and film professor who returns to the tony boarding school she attended as a troubled teenager to teach a course. There, she’s thrown back into memories from her senior year, when the murder of her classmate rocked campus. The school’s young Black athletic coach went to prison for the crime, but now that Bodie is back, she’s starting to wonder if they got the wrong guy. As Bodie reconciles her past and current biases with current attitudes toward social justice and retribution, she makes startling revelations that cause her to question everything she thought she knew about the murder—and to interrogate her own obsession with it. —Cady Lang Buy Now: I Have Some Questions For You on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/IHaveSomeQuestionsForYou.jpg?quality=85&w=800,History
The Iliad,by Emily Wilson (translator),"In 2017, Emily Wilson published her translation of Homer’s epic poem The Odyssey to great fanfare, making a significant contribution to how Homer would be read in the English language. Now, she continues to make what’s old new again with her translation of The Iliad, which she labored over for six years. Wilson’s spin on the battlefield saga centered on the Trojan conflict is refreshing and bold, and shows off her background as a Greek classics scholar (she teaches at the University of Pennsylvania). In her version, Wilson underlines the timeless and universal themes at the heart of the Iliad surrounding humanity, grief, and loss. In doing so, she makes a text most readers associate with schoolwork something much more exciting. —Annabel Gutterman Buy Now: The Iliad on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheIliad.jpg?quality=85&w=800,Poetry
I Love Russia,By Elena Kostyuchenko,"Over the past 15 years, journalist Elena Kostyuchenko has worked as a correspondent for Novaya Gazeta, one of the last independent Russian newspapers. She is known for her fearless reporting on the ordinary people of Russia who have been put in extraordinary circumstances. I Love Russia, translated by Bela Shayevich and Ilona Yazhbin Chavasse, is a stunning collection of personal essays and past journalistic work covering life in the country under President Vladimir Putin’s rule. Throughout her career, Kostyuchenko has gone to great lengths for her work. She has been assaulted, arrested, and, she writes, nearly killed in retribution for criticizing her country. Her dispatches from the frontlines of the war in Ukraine offer a shocking look at its atrocities. She writes about a mental facility mishandling its patients’ diagnoses in a heartbreaking story of government mismanagement. In I Love Russia, Kostyuchenko, who is now living in exile, paints a portrait of a country falling ever deeper into fascism. She says this vital read will be the last book she ever publishes. —Shannon Carlin Buy Now: I Love Russia on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/ILoveRussia.jpg?quality=85&w=800,Biography
Kairos,by Jenny Erpenbeck,"Aword of advice: before reading Jenny Erpenbeck’s latest novel, stock up on tissues. Kairos, first published in German in 2021 and newly translated into English by Michael Hoffman, is a tear-jerker of epic proportions. The book follows the emotionally and intellectually complicated, years-long affair between a young woman and a much older married man. Set in East Germany, just before and after the fall of the Berlin Wall, Katharina, a romantic but disillusioned 19-year-old theater student, finds herself involved with a controlling 50-something novelist named Hans. Though his jealousy and casual cruelty causes her pain, she fights back her tears, always waiting to cry until they’re no longer together. “Cries as she vacuums, cries as she cleans the kitchen, cries in the bathroom as she scrubs the shower and sink,” Erpenbeck writes of Katharina’s hidden waterworks, one of many warnings of the major heartbreak to come. But Erpenbeck’s hypnotic prose and brilliant accounting of German history make the impending breakup feel particularly profound. Kairos is an absorbingly bleak look at lost love that will stay with you long after it ends. —Shannon Carlin Buy Now: Kairos on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/Kairos.jpg?quality=85&w=800,History
King: A Life,by Jonathan Eig,"King: A Life, the first major biography of Martin Luther King, Jr. in 30 years, is an expansive and intricately drawn portrait of the civil rights icon. David J. Garrow, the author of the 1986 MLK biography Bearing the Cross, wrote that this 688-page tome is “a great leap forward in our biographical understanding” of the legendary activist. This is because Jonathan Eig, who has also published best-selling biographies of Muhammad Ali and Lou Gehrig, was able to access recently declassified FBI files—White House telephone transcripts, letters, and other special documents—that fill in the gaps of King’s story as it relates to America’s history for the first time. But Eig is more interested in the man than in the myth or legend he would become. He writes of King’s loving relationship with his wife, Coretta Scott King, but doesn’t ignore his moral failings as a husband. Through his exhaustive research, Eig presents King as a fully realized and flawed human being. —Shannon Carlin Buy Now: King: A Life on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/King.jpg?quality=85&w=800,Biography
Let Us Descend,by Jesmyn Ward,"The title of two-time National Book Award winner Jesmyn Ward’s haunting new novel, Let Us Descend, is an allusion to Dante’s Inferno, the 14th century epic poem about a journey through hell. Ward drops her protagonist, Annis, an enslaved girl, into hell on earth. After being sold off by the white enslaver who fathered her, Annis embarks on a treacherous, months-long journey from the Carolinas to the slave markets of New Orleans. Ward describes Annis’ grueling march on the brink of starvation through the unforgiving forests, swamps, and rivers of the Deep South in painstaking detail. The novel is at its most terrifying and enchanting when Annis is being tormented by an arrogant spirit known as Mama Aza, who has taken on the form of her late grandmother. The ghost puts Annis through a trial by fire, her own “circles of hell,” to prove that she is worthy of Mama Aza’s help. Let Us Descend is an unnerving story of reclamation that asks urgent questions about faith, family, and what it means to be free. —Shannon Carlin Buy Now: Let Us Descend on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/LetUsDescend.jpg?quality=85&w=800,History
Let's Go Let's Go Let's Go,by Cleo Qian,"Ephemera and desire dominate the narratives in Cleo Qian’s debut collection of short stories, Let’s Go Let’s Go Let’s Go. Centering on the lives of Asian and Asian American women, the tales are steeped in the tensions between fantasy and reality, the external and internal, and technology and the natural world. The book’s scenarios oscillate between beauty and dread—a queer love story turns into an abusive power struggle, the desire for acceptance leads to a controversial double eyelid surgery. Throughout it all, Qian demonstrates that the beautiful complexities of being human lie not in finding answers to the great unknown, but instead in the experience of living. —Cady Lang Buy Now: Let’s Go Let’s Go Let’s Go on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/LetsGoLetsGoLetsGo.jpg?quality=85&w=2400,Science
Liliana’s Invincible Summer,by Cristina Rivera Garza,"In the summer of 1990, Cristina Rivera Garza’s sister Liliana was murdered in her native Mexico. An arrest warrant was filed for her ex-boyfriend, but he disappeared during the investigation. Twenty-nine years after Liliana’s death, in 2019, Rivera Garza travels back on a mission to find her sister’s missing case file—and the suspect who fled. In her genre-defying memoir, she paints a portrait of her sister as an architecture student, a cinephile, an activist, and a swimmer. And she retraces her sister’s footsteps in her final days, interweaving excerpts from Liliana’s journals and evidence from the case, including letters and blueprints, in her quest for the truth. Instead of asking how a woman like Liliana could end up in an abusive situation, Rivera Garza probes why women bear the responsibility for male violence and sheds light on femicide, the murder of a woman because of her gender, calling for the end of oppressive, Byzantine systems that keep killers free and women in danger. —Meg Zukin Buy Now: Liliana’s Invincible Summer on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/LilianasInvincibleSummer.jpg?quality=85&w=800,Biography
Lone Women,by Victor LaValle,"It’s 1915 and Adelaide Henry’s parents are dead. So she douses their house with gasoline, lights a match, and doesn’t look back. The young woman heads to Montana, dragging a heavy and mysterious steamer trunk with her, hoping to start anew and acquire a property promised by the government to “lone” women. But try as she might to keep it locked down, her trunk can’t stay closed—and when it opens, her secrets are unleashed and threaten to upend her new life in a town unfriendly to outsiders. In his fifth novel, Victor LaValle explores isolation, secrecy, and power by blending together horror and history in a new type of Western. —Meg Zukin Buy Now: Lone Women on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/LoneWomen.jpg?quality=85&w=800,Biography
The Male Gazed,By Manuel Betancourt,"With The Male Gazed: On Hunks, Heartthrobs, and What Pop Culture Taught Me About (Desiring) Men, queer writer and film critic Manuel Betancourt fuses memoir and cultural criticism to deconstruct the myth of conventional masculinity. Growing up in Bogotá, Colombia, Betancourt didn’t think he was “man enough” by society’s standards. He was obsessed with telenovela stars, Disney princes, and Ricky Martin, and often found himself asking: “Do I want him or do I want to be him?” In this delightful collection of personal essays, he explores portrayals of masculinity to rethink what it means to be a man. In “Wrestling Heartthrobs,” he uses his infatuation with Mario Lopez’s unitard-wearing Saved By the Bell character A.C. Slater to grapple with his attraction to the high-school jock archetype. What Betancourt discovers through the witty and probing analysis of his own desires is that masculinity is a concept that has always been too inflexible for its own good. In freeing himself from its constraints, he encourages others to do the same. —Shannon Carlin Buy Now: The Male Gazed on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/TheMaleGazed.jpg?quality=85&w=800,Biography
Master Slave Husband Wife,by Ilyon Woo,"Ilyon Woo’s follow-up to her 2010 book The Great Divorce, which focused on an infamous 19th century break up, is a vivid retelling of enslaved couple Ellen and William Craft’s harrowing journey from Georgia to Philadelphia in 1848 to gain back their freedom. Ellen, who was born enslaved to a white farmer, pretended to be a white man traveling up north for medical care. To fool fellow travelers, she donned a clever disguise—a silk stovepipe hat, dark green glasses, a sling for her right arm, and bandages wrapped around her face to hide her feminine features—and cast her husband, William, an enslaved cabinetmaker, as her dutiful servant. Woo describes their escape in exquisite detail and reveals their fascinating connection to the Civil War and the abolition of slavery. It’s an edge-of-your-seat drama that will leave many wondering why the duo’s remarkable story has been so overlooked by history. —Shannon Carlin Buy Now: Master Slave Husband Wife on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/MasterSlaveHusbandWife.jpg?quality=85&w=800,History
Mobility,by Lydia Kiesling,"Through the lens of one American woman’s life, acclaimed author Lydia Kiesling shines a light on how individual complicity in capitalism has helped fuel the global environmental crisis. Beginning in 1998 and stretching across decades, Mobility follows protagonist Bunny Glenn as she navigates politics, relationships, and the banality of corporate greed, from her teenage years living in Azerbaijan with her family through her rise in the oil industry to what Kiesling refers to as a “doom-filled futurecast.” This incisive and often funny coming-of-age novel is a profound standout among the growing shelf of literature addressing climate change. —Megan McCluskey Buy Now: Mobility on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/Mobility.jpg?quality=85&w=800,Biography
Mott Street,by Ava Chin,"Growing up in Queens as the only child of a single mother, author and professor Ava Chin never really knew her origins. In her deeply researched memoir, Mott Street: A Chinese American Family’s Story of Exclusion and Homecoming, she traces her family’s history from the Pearl River Delta in southern China to the titular New York City street in the heart of Chinatown where her relatives would put down permanent roots. Chin delights in recalling the lives of her more colorful ancestors, like Chin On, her hard-drinking, hatchet-carrying paternal great-grandfather. But she also writes unflinchingly of the racism and marginalization her family faced after arriving in the American West in the mid-19th century. In painstaking detail, she breaks down the effects the Chinese Exclusion Act of 1882, which blocked Chinese immigrants from citizenship for six decades, has had on generations of families who still face discrimination today. Mott Street is a sensitively told story of survival, resilience, and resistance. —Shannon Carlin Buy Now: Mott Street on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/MottStreet.jpg?quality=85&w=800,Biography
My Name Is Barbra,by Barbra Streisand,"At nearly 1,000 pages, the long-anticipated memoir from Barbra Streisand covers her more than 60-year career, and she bares plenty. It’s all in there: stories about her childhood and relationship with her mother, landing her first Broadway audition, doing Funny Girl, and even the media attention directed toward her nose. In reflecting on those moments and more, Streisand reveals she has always been exactly who she is: confident, maybe a little brazen, and one of the best performers who has ever lived. —Mahita Gajanan Buy Now: My Name Is Barbra on Bookshop | Amazon Looking for more book recommendations? Sign up for Worth Your Time CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/MyNameIsBarbra.jpg?quality=85&w=800,Biography
None of the Above,by Travis Alabanza,"In None of the Above: Reflections on Life Beyond the Binary, Travis Alabanza unpacks a series of seven phrases people have said to them throughout their life, like, about their gender identity, “So when did you know?” Alabanza dives deep into their lived experience as a Black, mixed-race, working class, nonbinary trans person in a society where visibility doesn’t guarantee safety. Their memoir is a reflection on the gender binary—and how it’s upheld—as well as a vision of a life beyond it. Alabanza asserts that they are not trans because they were born different; “I am trans because the world made me so,” they write. In None of the Above, the author challenges the status quo with searing social commentary peppered with personal anecdotes, even exploring their own uncertainty regarding their gender identity. By being radically honest about their doubt, they challenge the very idea of the gender binary—and how its rigidity impacts those who exist outside of it. —Meg Zukin Buy Now: None of the Above on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/NoneOfTheAbove.jpg?quality=85&w=800,Biography
North Woods,by Daniel Mason,"In his evocative novel North Woods, Daniel Mason traverses three centuries’ worth of lovers, families, friends, foes, and ghosts on a lush plot of land in the woods of New England. North Woods begins with a pair of Puritan runaway lovers who leave their homes and families to begin a new life of freedom together. As time passes, new characters come to live in the home that the couple built, including a young Black mother fleeing slavery, a contemporary postdoctoral fellow seeking respite in nature, and an artist pining for a forbidden love, among others. Weaving between multiple eras, the book is a deft study in the universal feelings of longing and a desire for escape. —Cady Lang Buy Now: North Woods on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/NorthWoods.jpg?quality=85&w=800,Biography
Nothing Special,by Nicole Flattery,"In Nicole Flattery’s Nothing Special, Mae revisits her youth in 1960s New York, where she falls into a typist job at Andy Warhol’s Factory. There, she’s tasked with transcribing recordings of Andy’s interviews and grows increasingly fixated on the conversations she hears. But in Flattery’s nostalgic coming-of-age narrative, Warhol is hardly mentioned by name and his Factory is stripped of its infamous mythology, making the observant—and sometimes obsessive—Mae the true star of the story. Though primarily set in 1966, Nothing Special flips back and forth between the past and present, and serves as a clever critique of modern-day parasocial relationships, surveillance, voyeurism, and performance. —Meg Zukin Buy Now: Nothing Special on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/NothingSpecial.jpg?quality=85&w=800,History
Our Migrant Souls,by Héctor Tobar,"The term “Latino” encapsulates a myriad of experiences, identities, and histories, all of which Héctor Tobar makes a valiant effort to capture in his book Our Migrant Souls: A Meditation on Race and the Meanings and Myths of “Latino.” Through a combination of research and his personal experiences, Tobar presents an expansive exploration of the Latinx existence in the United States. From detailing colonial histories to confronting public policies, Tobar takes a fearless and clear-eyed look at the rich complexities of Latinidad and what it means to be Latino in this moment. —Cady Lang Buy Now: Our Migrant Souls on Bookshop | Amazon CONTACT US AT LETTERS@TIME.COM.",https://api.time.com/wp-content/uploads/2023/11/OurMigrantSouls.jpg?quality=85&w=800,Science
